CN_ID,CN_ADDRESS1,CN_ADDRESS2,CN_CITY,CN_STATE,CN_ZIP,N_ADDRESS,N_ADDR2,N_CITY,N_STATE,N_ZIP,N_ZIP4,N_LON,N_LAT,N_MCODE,N_LCODE,N_RCODE,N_HOUSENUM,N_PREDIR,N_STREET,N_STRSUF,N_POSTDIR,N_UNIT,N_UNIT2,N_UNITDES,N_UNITDES2,SPECIES
351661,5225 POOKS HILL RD,PROMENADE TOWERS,BETHESDA,MD,20814,5225 Pooks Hill Rd,Rd Promenade Towers,Bethesda,MD,20814-2052,2052,-77.106521,39.014645,S81,AS0,S5HPN-SCZA,5225,,Pooks Hill,Rd,,,,,,Yellowwood
355653,5600 LITTLE FALLS PARKWAY,WASHINGTON EPISCOPAL SCHOOL,BETHESDA,MD,20816,5600 Little Falls Pkwy,Parkway Washington Episcopal School,Bethesda,MD,20816-1519,1519,-77.100714,38.965066,S81,AS0,S5HPN-SCZA,5600,,Little Falls,Pkwy,,,,,,Serviceberry
409737,17510-17523 PRINCE PHILLIP DRIVE,,OLNEY,MD,20832,17510 Prince Philip Dr # 17523,,Olney,MD,20832-2521,2521,-77.065481,39.141843,S88,AS0,S5HP--SCZA,17510,,Prince Philip,Dr,,17523,,#,,Sugar Maple
409720,3417 QUEENSBOROUGH DRIVE,11 PARSON GROVE COURT,OLNEY,MD,20832,3417 Queensborough Dr,11 Parson Grove Ct,Olney,MD,20832-2544,2544,-77.06143,39.140556,S80,AS0,S5HPNTSCZA,3417,,Queensborough,Dr,,,,,,White Oak
362397,4703 ADRIAN ST,,ROCKVILLE,MD,20853,4703 Adrian St,,Rockville,MD,20853-3450,3450,-77.093928,39.06362,S80,AS0,S5HPNTSCZA,4703,,Adrian,St,,,,,,Box Elder
272531,7110 MINSTREL WAY,BRIGHTON GARDENS COLUMBIA,COLUMBIA,MD,21045,7110 Minstrel Way,Brighton Gardens Columbia,Columbia,MD,21045-5426,5426,-76.844453,39.177807,S80,AS0,S5HPNTSCZA,7110,,Minstrel,Way,,,,,,Loblolly Pine
409488,5293 GREEN HILLS DR,,PALM HARBOR,FL,34685,5293 Green Hills Dr,,Palm Harbor,FL,34685,,-82.6967,28.0994,E024,ZC5X,Z1,5293,,Green Hills,Dr,,,,,,Northern Red Oak
334650,9108 SEAFORTH DR,,LOUISVILLE,KY,40258,9108 Seaforth Dr,,Louisville,KY,40258-1606,1606,-85.870759,38.122756,S80,AS0,S5HPNTSCZA,9108,,Seaforth,Dr,,,,,,Red Maple
263659,5421 VALLEY PARK DRIVE,,LOUISVILLE,KY,40299,5421 Valley Park Dr,,Louisville,KY,40299-4135,4135,-85.539835,38.169994,S80,AS0,S5HPNTSCZA,5421,,Valley Park,Dr,,,,,,Shagbark Hickory
263461,9508 GATEWAY DR,,JEFFERSONTOWN,KY,40299,9508 Gateway Dr,,Jeffersontown,KY,40299-2646,2646,-85.577644,38.211525,S80,AS0,S5HPNTSCZA,9508,,Gateway,Dr,,,,,,White Pine
351560,301 DELANEY WOODS DR,,NICHOLASVILLE,KY,40356,301 Delaney Woods,,Nicholasville,KY,40356-8730,8730,-84.627301,37.97731,S81,AS0,S5HPN-SCZA,301,,Delaney Woods,,,,,,,Slippery Elm
290318,600 KEMPER LANE,,DANVILLE,KY,40422,600 Kemper Ln,,Danville,KY,40422-9331,9331,-84.732235,37.662209,S80,AS0,S5HPNTSCZA,600,,Kemper,Ln,,,,,,Jack Pine
361921,2424 BUTTERWOOD WAY,WATERFORD TOWNHOMES,BOWLING GREEN,KY,42101,2424 Butterwood Way,Waterford Townhomes,Bowling Green,KY,42101-5232,5232,-86.490921,36.976481,S80,AS0,S5HPNTSCZA,2424,,Butterwood,Way,,,,,,Yellowwood
285045,9054 COTTER STREET,"REAL PROPERTY MANAGEMENT, INC.",LEWIS CENTER,OH,43035,9054 Cotter St,Real Property Management Inc,Lewis Center,OH,43035-7101,7101,-83.009821,40.157695,S80,AS0,S5HPNTSCZA,9054,,Cotter,St,,,,,,Serviceberry
317154,504 MEADOWS DR,MEADOWS APTS.,MARYSVILLE,OH,43040,504 Meadow Dr,Meadows Apts,Marysville,OH,43040-8677,8677,-83.373947,40.251024,S88,AS0,S5HP--SCZA,504,,Meadow,Dr,,,,,,Sugar Maple
261510,3584 HOME RD,LIBERTY HIGH SCHOOL,POWELL,OH,43065,3584 Home Rd,Liberty High School,Powell,OH,43065-9757,9757,-83.100998,40.196204,S80,AS0,S5HPNTSCZA,3584,,Home,Rd,,,,,,White Oak
387976,5377 CENTRAL COLLEGE RD.,,WESTERVILLE,OH,43081,5377 Central College Rd,,Westerville,OH,43081-7095,7095,-82.845471,40.09962,S80,AS0,S5HPNTSCZA,5377,,Central College,Rd,,,,,,Box Elder
403364,2365 HARDY PARKWAY,THE WILLOWS,GROVE CITY,OH,43123,2365 Hardy Parkway St,The Willows,Grove City,OH,43123-1516,1516,-83.044911,39.908407,A89,AS0,S5HP--SCZA,2365,,Hardy Parkway,St,,,,,,Loblolly Pine
355082,6171 NORWAY GLEN,WILLOWS AT PRESERVE CROSSING,COLUMBUS,OH,43230,6171 Norway Glen Ave,Willows At Preserve Crossing,Columbus,OH,43230-7309,7309,-82.853026,40.063641,S81,AS0,S5HPN-SCZA,6171,,Norway Glen,Ave,,,,,,Northern Red Oak
409139,03994 COUNTY ROAD 1250,,BRYAN,OH,43506,3994 County Road 1250,,Bryan,OH,43506-8988,8988,-84.583819,41.451933,S80,AS0,S5HPNTSCZA,3994,,County Road 1250,,,,,,,Red Maple
292864,913 SUMMIT ST,,DEFIANCE,OH,43512,913 Summit St,,Defiance,OH,43512-3041,3041,-84.355652,41.274114,S80,AS0,S5HPNTSCZA,913,,Summit,St,,,,,,Shagbark Hickory
408891,25920 RUSTIC LN,,WESTLAKE,OH,44145,25920 Rustic Ln,,Westlake,OH,44145-5400,5400,-81.908414,41.441367,S80,AS0,S5HPNTSCZA,25920,,Rustic,Ln,,,,,,White Pine
408541,842 DAN AVE,,CANAL FULTON,OH,44614,842 Dan Ave,,Canal Fulton,OH,44614-8802,8802,-81.580178,40.890757,S80,AS0,S5HPNTSCZA,842,,Dan,Ave,,,,,,Slippery Elm
342274,4437 CASTLEGATE BLVD,,UNIONTOWN,OH,44685,4437 Castlegate Blvd,,Uniontown,OH,44685-6928,6928,-81.507919,40.956135,S80,AS0,S5HPNTSCZA,4437,,Castlegate,Blvd,,,,,,Jack Pine
408962,2211 LINWOOD CT,,WOOSTER,OH,44691,2211 Linwood Ct,,Wooster,OH,44691-9069,9069,-81.965516,40.827215,S80,AS0,S5HPNTSCZA,2211,,Linwood,Ct,,,,,,Yellowwood
408054,399 DOUGLAS DR,,BELLEVUE,OH,44811,399 Douglas Dr,,Bellevue,OH,44811-1305,1305,-82.848797,41.274219,S80,AS0,S5HPNTSCZA,399,,Douglas,Dr,,,,,,Serviceberry
409190,211 LISA ANN DR.,,HURON,OH,44839,211 Lisa Ann Dr,,Huron,OH,44839-2666,2666,-82.563606,41.382901,S80,AS0,S5HPNTSCZA,211,,Lisa Ann,Dr,,,,,,Sugar Maple
318397,239 VISTA RIDGE,,SOUTH LEBANON,OH,45065,239 Vista Ridge Dr,,South Lebanon,OH,45065-8757,8757,-84.21393,39.358534,S81,AS0,S5HPN-SCZA,239,,Vista Ridge,Dr,,,,,,White Oak
408071,189 ANDERSON FERRY,,CINCINNATI,OH,45238,189 Anderson Ferry Rd,,Cincinnati,OH,45238-5906,5906,-84.617688,39.083684,S81,AS0,S5HPN-SCZA,189,,Anderson Ferry,Rd,,,,,,Box Elder
407818,2216 HEATHER HILL BLVD N.,EIGHT MILE RD,CINCINNATI,OH,45244,2216 Heather Hill Blvd N,Eight Mile Rd,Cincinnati,OH,45244-2664,2664,-84.319885,39.094045,S80,AS0,S5HPNTSCZA,2216,,Heather Hill,Blvd,N,,,,,Loblolly Pine
295276,6805 DR. MLKVR BLVD.,DR M.L.KING JR.BLVD,ANDERSON,IN,46013,6805 Dr. Mlkvr Blvd.,Dr M.L.King Jr.Blvd,Anderson,IN,46013,,-85.6762,40.0603,E020,ZC5X,Z1,6805,,Dr Mlkvr,Blvd,,,,,,Bald Cypress
287707,11819 PENNSYLVANIA ST,INGERSOLL-RAND,CARMEL,IN,46032,11819 N Pennsylvania St # INGERSOLL-R,,Carmel,IN,46032-4555,4555,-86.154981,39.96159,A82,AS0,S5H-NTSCZA,11819,N,Pennsylvania,St,,INGERSOLL-R,,#,,Bald Cypress
388589,10462 OLIO RD,GEIST SHOPPES,FISHERS,IN,46033,10462 Olio Rd,Geist Shoppes,Fishers,IN,46040-7500,7500,-85.918506,39.939955,S90,AS0,S5HPNTSC-A,10462,,Olio,Rd,,,,,,Bald Cypress
408081,3320 NASSAU CT,,GREENWOOD,IN,46143,3320 Nassau Ct,,Greenwood,IN,46143-9555,9555,-86.164717,39.580889,S80,AS0,S5HPNTSCZA,3320,,Nassau,Ct,,,,,,Bald Cypress
408029,5352 OAKBROOK PLACE,,PLAINFIELD,IN,46168,5352 Oakbrook Pl,,Plainfield,IN,46168-7410,7410,-86.43256,39.710144,S80,AS0,S5HPNTSCZA,5352,,Oakbrook,Pl,,,,,,Bald Cypress
382358,5702 KIRKPATRICK WAY,CAPE COD VILLAGE,INDIANAPOLIS,IN,46220,5702 Kirkpatrick Way,,Indianapolis,IN,46220-3925,3925,-86.070931,39.882104,S89,AS0,S5HP--SCZA,5702,,Kirkpatrick,Way,,,,,,Northern Red Oak
338272,8720 CASTLE CREEK PKWY,CASTLE CREEK 3,INDIANAPOLIS,IN,46250,8720 Castle Creek Parkway East Dr # 3,,Indianapolis,IN,46250-4300,4300,-86.069061,39.914022,S89,AS0,S5HP--SCZA,8720,,Castle Creek Parkway East,Dr,,3,,#,,Red Maple
279750,5975 CASTLE CREEK PKWY,CASTLE CREEK 6,INDIANAPOLIS,IN,46250,5975 Castle Creek Parkway North Dr # 6,,Indianapolis,IN,46250-4340,4340,-86.064946,39.916698,S89,AS0,S5HP--SCZA,5975,,Castle Creek Parkway North,Dr,,6,,#,,Shagbark Hickory
340468,2412 SPRING HILL CT.,SPRING HILL PLACE,INDIANAPOLIS,IN,46268,2412 Spring Hill Ct,Place,Indianapolis,IN,46268-3316,3316,-86.203199,39.90284,S89,AS0,S5HP--SCZA,2412,,Spring Hill,Ct,,,,,,White Pine
408920,51363 COUNTY RD 3,,ELKHART,IN,46514,51363 County Road 3,,Elkhart,IN,46514-8879,8879,-86.023801,41.746914,S80,AS0,S5HPNTSCZA,51363,,County Road 3,,,,,,,Slippery Elm
401134,9860 WOODBEND DR,,SALINE,MI,48176,9860 Woodbend Dr,,Saline,MI,48176-9465,9465,-83.753053,42.143201,S80,AS0,S5HPNTSCZA,9860,,Woodbend,Dr,,,,,,Jack Pine
407919,819 WESTBROOKE DR,,SOUTH LYON,MI,48178,819 Westbrooke Dr,,South Lyon,MI,48178-1667,1667,-83.642143,42.452883,S80,AS0,S5HPNTSCZA,819,,Westbrooke,Dr,,,,,,Yellowwood
408971,9368 SILVERSIDE DRIVE,,SOUTH LYON,MI,48178,9368 Silverside,,South Lyon,MI,48178-8808,8808,-83.718326,42.463606,S81,AS2,S5HPN-SCZA,9368,,Silverside,,,,,,,Serviceberry
409021,53551 MARIAN DR,,SHELBY TOWNSHIP,MI,48315,53551 Marian Dr,,Shelby Township,MI,48315-1915,1915,-82.993768,42.688614,S80,AS0,S5HPNTSCZA,53551,,Marian,Dr,,,,,,Sugar Maple
408032,5300 SPRUCEVIEW LN,,FOWLERVILLE,MI,48836,5300 Spruceview Ln,,Fowlerville,MI,48836-9654,9654,-84.125283,42.67596,S80,AS0,S5HPNTSCZA,5300,,Spruceview,Ln,,,,,,White Oak
407862,1300 HUDSON DR,,HOWELL,MI,48843,1300 Hudson Dr,,Howell,MI,48843-6850,6850,-83.935373,42.577581,S80,AS0,S5HPNTSCZA,1300,,Hudson,Dr,,,,,,Box Elder
409054,1325 BYRON RD STE A,,HOWELL,MI,48843,1325 Byron Rd Ste A,,Howell,MI,48843-1078,1078,-83.940948,42.620296,S80,AS0,S5HPNTSCZA,1325,,Byron,Rd,,A,,Ste,,Loblolly Pine
408015,309 GRANITE DR,,HOWELL,MI,48843,309 Granite Dr,,Howell,MI,48843-7047,7047,-83.996982,42.595163,S80,AS0,S5HPNTSCZA,309,,Granite,Dr,,,,,,Bald Cypress
408018,669 PRINCE EDWARD,,HOWELL,MI,48843,669 Prince Edward Dr,,Howell,MI,48843-7865,7865,-83.922732,42.518919,S81,AS0,S5HPN-SCZA,669,,Prince Edward,Dr,,,,,,Northern Red Oak
243545,300 S. HUGHES RD,"BROOKS INC, DBA FAULKWOOD SHORES GOLF CLUB",HOWELL,MI,48843,300 S Hughes Rd,"Brooks Inc, Dba Faulkwood Shores Golf Club",Howell,MI,48843-7135,7135,-83.853521,42.59522,S80,AS0,S5HPNTSCZA,300,S,Hughes,Rd,,,,,,Red Maple
354033,9405 BRIANNA TR,WOODLAND ESTATE,PORTAGE,MI,49002,9405 Brianna Trl,Woodland Estate,Portage,MI,49002-8432,8432,-85.536414,42.180667,S80,AS0,S5HPNTSCZA,9405,,Brianna,Trl,,,,,,Shagbark Hickory
350414,69720 W WHITETAIL RD,,STURGIS,MI,49091,69720 W White Tail Rd,,Sturgis,MI,49091-8252,8252,-85.451691,41.784187,S88,AS0,S5HP-TSCZA,69720,W,White Tail,Rd,,,,,,White Pine
369345,71467 STAGS LEAP CT,"RESERVE AT KNOLLWOOD SUBDIVISION ENTRY EASTSIDE OF IRONWOOD, JUST NORTH OF STATE LINE ROAD",NILES,MI,49120,71467 Stags Leap Ct,Reserve At Knollwood Subdivision Entry Eastside Of Ironwood,Niles,MI,49120-7818,7818,-86.207409,41.761443,S80,AS0,S5HPNTSCZA,71467,,Stags Leap,Ct,,,,,,Slippery Elm
409077,5145 FOXFIRE ST,,JACKSON,MI,49201,5145 Foxfire St,,Jackson,MI,49201-8304,8304,-84.436696,42.187675,S80,AS0,S5HPNTSCZA,5145,,Foxfire,St,,,,,,Jack Pine
409789,705 WILD ROSE RD,,WILTON,IA,52778,705 Wild Rose Rd,,Wilton,IA,52778-9710,9710,-91.026396,41.592496,S80,AS0,S5HPNTSCZA,705,,Wild Rose,Rd,,,,,,Yellowwood
408970,1875 RIVER LAKES RD,,OCONOMOWOC,WI,53066,1875 River Lakes Rd S,,Oconomowoc,WI,53066-4857,4857,-88.452448,43.071534,S84,AS0,S5HPNT-CZA,1875,,River Lakes,Rd,S,,,,,Serviceberry
409771,814 GREENHAVEN CT,,PEWAUKEE,WI,53072,814 Greenhaven Ct,,Pewaukee,WI,53072-6301,6301,-88.235337,43.097332,S80,AS0,S5HPNTSCZA,814,,Greenhaven,Ct,,,,,,Sugar Maple
408623,944 CHEASTERWOOD CT,,PEWAUKEE,WI,53072,944 Chesterwood Ct,,Pewaukee,WI,53072-6302,6302,-88.235393,43.098561,S88,AS0,S5HP-TSCZA,944,,Chesterwood,Ct,,,,,,White Oak
408957,3539 BIRNAMWOOD DR,,SLINGER,WI,53086,3539 Birnamwood Dr,,Slinger,WI,53086-9789,9789,-88.259607,43.318897,S80,AS0,S5HPNTSCZA,3539,,Birnamwood,Dr,,,,,,Box Elder
409122,4902 STERLING DR,,GREENDALE,WI,53129,4902 Sterling Dr,,Greendale,WI,53129-2617,2617,-87.976415,42.931075,S80,AS0,S5HPNTSCZA,4902,,Sterling,Dr,,,,,,Loblolly Pine
409762,4515 S DELPHINE DR,,NEW BERLIN,WI,53151,4515 S Delphine Dr,,New Berlin,WI,53151-6629,6629,-88.112038,42.962413,S80,AS0,S5HPNTSCZA,4515,S,Delphine,Dr,,,,,,Bald Cypress
408102,8838 3RD AVE,,PLEASANT PRAIRIE,WI,53158,8838 3rd Ave,,Pleasant Prairie,WI,53158-4707,4707,-87.815847,42.544128,S80,AS0,S5HPNTSCZA,8838,,3rd,Ave,,,,,,White Pine
406500,116-118 W PEMBROKE WAY,,WALES,WI,53183,116-118 W Pembroke Way,,Wales,WI,53183-9747,9747,-88.377592,43.000495,R80,AR1,S5HPNTSCZA,116,W,Pembroke,Way,,,,,,White Pine
408482,N12W29829 SOUTHAMPTON DR,,WAUKESHA,WI,53188,N12W29829 Southampton Dr,,Waukesha,WI,53188-9400,9400,-88.341837,43.048791,S80,AI0,S5HPNTSCZA,N12W29829,,Southampton,Dr,,,,,,White Oak
408995,N7W29429 KESWICK CT,,WAUKESHA,WI,53188,N7W29429 Keswick Ct,,Waukesha,WI,53188-9458,9458,-88.332676,43.04105,S80,AS1,S5HPNTSCZA,N7W29429,,Keswick,Ct,,,,,,White Oak
408988,"W274 S2122 KAME TERRACE CT, NORTH",,WAUKESHA,WI,53188,W274S2122 Kame Terrace Ct N,,Waukesha,WI,53188-5203,5203,-88.2964,43.0059,S80,ZB9E,S3HPNTSCZA,W274S2122,,Kame Terrace,Ct,N,,,,,Northern Red Oak
268019,7609 WELTON DR.,,MADISON,WI,53719,7609 Welton Dr,,Madison,WI,53719-3025,3025,-89.514275,43.043667,S80,AS0,S5HPNTSCZA,7609,,Welton,Dr,,,,,,Red Maple
409714,4885 PHEASANT,,AFTON,MN,55001,4885 Pheasant Ct,,Afton,MN,55001-9415,9415,-92.793914,44.877475,S81,AS0,S5HPN-SCZA,4885,,Pheasant,Ct,,,,,,Shagbark Hickory
